Food Name,Portion Size,Calories (kcal)
"Lettuce, cos or romaine, raw",N/A,17
"Lettuce, green leaf, raw",N/A,15
"Lettuce, iceberg (includes crisphead types), raw",N/A,14
"Lettuce, red leaf, raw",N/A,55
"Lima beans, immature seeds, raw",N/A,473
"Lima beans, large, mature seeds, raw",N/A,338
"Lima beans, thin seeded (baby), mature seeds, raw",N/A,1400
"Limes, raw",N/A,30
"Litchis, raw",N/A,276
"Loganberries, frozen",N/A,230
"Longans, raw",N/A,251
"Loquats, raw",N/A,197
"Lotus root, raw",N/A,74
"Lupins, mature seeds, raw",N/A,1550
"Mammy-apple, (mamey), raw",N/A,213
"Mangos, raw",N/A,60
"Mangosteen, canned, syrup pack",N/A,305
"Mashu roots, raw (Alaska Native)",N/A,566
"Melons, cantaloupe, raw",N/A,34
"Melons, cantaloupe, raw",N/A,34
"Melons, casaba, raw",N/A,28
"Melons, honeydew, raw",N/A,150
"Millet, raw",N/A,1580
"Mollusks, abalone, mixed species, raw",N/A,439
"Mollusks, clam, mixed species, raw",N/A,86
"Mollusks, cuttlefish, mixed species, raw",N/A,331
"Mollusks, mussel, blue, raw",N/A,360
"Mollusks, octopus, common, raw",N/A,343
"Mollusks, oyster, eastern, farmed, raw",N/A,247
"Mollusks, oyster, eastern, wild, raw",N/A,213
"Mollusks, oyster, Pacific, raw",N/A,339
"Mollusks, scallop, mixed species, raw",N/A,289
"Mollusks, squid, mixed species, raw",N/A,385
"Mollusks, whelk, unspecified, raw",N/A,573
"Moose, liver, braised (Alaska Native)",N/A,155
"Moose, meat, raw (Alaska Native)",N/A,103
"Mothbeans, mature seeds, raw",N/A,1440
"Mountain yam, hawaii, raw",N/A,280
"Mulberries, raw",N/A,180
"Mung beans, mature seeds, raw",N/A,347
"Mung beans, mature seeds, sprouted, raw",N/A,30
"Mungo beans, mature seeds, raw",N/A,1430
"Mushrooms, brown, italian, or crimini, exposed to ultraviolet light, raw",N/A,94
"Mushrooms, brown, italian, or crimini, raw",N/A,94
"Mushrooms, Chanterelle, raw",N/A,135
"Mushrooms, enoki, raw",N/A,37
"Mushrooms, maitake, raw",N/A,130
"Mushrooms, morel, raw",N/A,31
"Mushrooms, oyster, raw",N/A,33
"Mushrooms, portabella, exposed to ultraviolet light, grilled",N/A,29
"Mushrooms, portabella, grilled",N/A,29
"Mushrooms, portabella, raw",N/A,92
"Mushrooms, shiitake, dried",N/A,1240
"Mushrooms, shiitake, raw",N/A,34
"Mushrooms, shiitake, stir-fried",N/A,39
"Mushrooms, straw, canned, drained solids",N/A,133
"Mushrooms, white, cooked, boiled, drained, with salt",N/A,28
"Mushrooms, white, cooked, boiled, drained, without salt",N/A,28
"Mushrooms, white, microwaved",N/A,35
"Mushrooms, white, raw",N/A,93
"Mushrooms, white, stir-fried",N/A,110
"Mustard greens, raw",N/A,114
"Mustard spinach, (tendergreen), raw",N/A,92
"Nance, frozen, unsweetened",N/A,306
"Naranjilla (lulo) pulp, frozen, unsweetened",N/A,25
"Nectarines, raw",N/A,185
"Nectarines, raw",N/A,163
"New Zealand spinach, raw",N/A,59
"Nopales, raw",N/A,66
"Nuts, acorns, raw",N/A,1620
"Nuts, almonds",N/A,2420
"Nuts, beechnuts, dried",N/A,2410
"Nuts, brazilnuts, dried, unblanched",N/A,659
"Nuts, butternuts, dried",N/A,2560
"Nuts, cashew nuts, dry roasted, without salt added",N/A,574
"Nuts, cashew nuts, raw",N/A,2310
"Nuts, chestnuts, chinese, raw",N/A,937
"Nuts, chestnuts, european, raw, unpeeled",N/A,891
"Nuts, chestnuts, japanese, raw",N/A,644
"Nuts, coconut meat, raw",N/A,354
"Nuts, ginkgo nuts, raw",N/A,761
"Nuts, hazelnuts or filberts",N/A,628
"Nuts, hickorynuts, dried",N/A,2750
"Nuts, macadamia nuts, raw",N/A,3000
"Nuts, pecans",N/A,2890
"Nuts, pilinuts, dried",N/A,3010
"Nuts, pine nuts, dried",N/A,2820
"Nuts, pine nuts, pinyon, dried",N/A,2630
"Nuts, pistachio nuts, raw",N/A,560
"Nuts, walnuts, black, dried",N/A,2590
"Nuts, walnuts, english",N/A,654
Oats (Includes foods for USDA's Food Distribution Program),N/A,1630
Octopus (Alaska Native),N/A,56
"Oheloberries, raw",N/A,117
"Oil, beluga, whale (Alaska Native)",N/A,3770
"Oil, walrus (Alaska Native)",N/A,900
"Oil, whale, bowhead (Alaska Native)",N/A,3770
"Okra, raw",N/A,138
"Olives, ripe, canned (small-extra large)",N/A,485
"Onions, raw",N/A,40
"Onions, red, raw",N/A,44
"Onions, spring or scallions (includes tops and bulb), raw",N/A,135
"Onions, sweet, raw",N/A,32
"Onions, welsh, raw",N/A,142
"Onions, white, raw",N/A,35
"Onions, yellow, raw",N/A,38
"Onions, young green, tops only",N/A,112
"Oopah (tunicate), whole animal (Alaska Native)",N/A,279
"Oranges, raw, all commercial varieties",N/A,47
"Oranges, raw, California, valencias",N/A,205
"Oranges, raw, Florida",N/A,46
"Oranges, raw, navels",N/A,47
"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",N/A,49
"Oranges, raw, with peel",N/A,262
"Ostrich, fan, raw",N/A,490
"Ostrich, ground, cooked, pan-broiled",N/A,175
"Ostrich, ground, raw",N/A,690
"Ostrich, inside leg, cooked",N/A,591
"Ostrich, inside leg, raw",N/A,111
"Ostrich, inside strip, cooked",N/A,164
"Ostrich, inside strip, raw",N/A,532
"Ostrich, outside leg, raw",N/A,482
"Ostrich, outside strip, cooked",N/A,655
"Ostrich, outside strip, raw",N/A,120
"Ostrich, oyster, cooked",N/A,665
"Ostrich, oyster, raw",N/A,125
"Ostrich, round, raw",N/A,116
"Ostrich, tenderloin, raw",N/A,515
"Ostrich, tip trimmed, cooked",N/A,606
"Ostrich, tip trimmed, raw",N/A,114
"Ostrich, top loin, cooked",N/A,155
"Ostrich, top loin, raw",N/A,119
"Owl, horned, flesh, raw (Alaska Native)",N/A,568
"Papayas, raw",N/A,179
"Parsley, fresh",N/A,36
"Parsnips, raw",N/A,75
"Passion-fruit juice, yellow, raw",N/A,251
"Passion-fruit, (granadilla), purple, raw",N/A,406
"Peaches, yellow, raw",N/A,42
"Peaches, yellow, raw",N/A,39
"Peanuts, spanish, raw",N/A,570
"Peanuts, valencia, raw",N/A,2380
"Peanuts, virginia, raw",N/A,2360
"Pears, asian, raw",N/A,176
"Pears, raw",N/A,57
"Pears, raw, bartlett",N/A,238
"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",N/A,264
"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",N/A,279
"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",N/A,66
"Pears, raw, red anjou",N/A,62
"Peas, edible-podded, raw",N/A,42
"Peas, green, raw",N/A,339
"Peas, green, split, mature seeds, raw",N/A,1520
"Pepper, banana, raw",N/A,27
"Peppermint, fresh",N/A,293
"Peppers, hot chili, green, raw",N/A,167
"Peppers, jalapeno, raw",N/A,119
"Peppers, serrano, raw",N/A,32
"Peppers, sweet, green, raw",N/A,84
"Peppers, sweet, yellow, raw",N/A,112
"Persimmons, japanese, raw",N/A,293
"Persimmons, native, raw",N/A,531
"Pheasant, raw, meat and skin",N/A,757
"Pigeon peas (red gram), mature seeds, raw",N/A,1440
"Pigeonpeas, immature seeds, raw",N/A,569
"Pineapple, raw, all varieties",N/A,209
"Pineapple, raw, extra sweet variety",N/A,215
"Pineapple, raw, traditional varieties",N/A,45
"Pinon Nuts, roasted (Navajo)",N/A,541
"Pitanga, (surinam-cherry), raw",N/A,138
"Plantains, green, raw",N/A,152
"Plantains, yellow, raw",N/A,510
"Plums, raw",N/A,46
"Pokeberry shoots, (poke), raw",N/A,96
"Pomegranates, raw",N/A,346
"Pork, fresh, carcass, separable lean and fat, raw",N/A,1570
"Potatoes, flesh and skin, raw",N/A,77
"Potatoes, raw, skin",N/A,243
"Potatoes, red, flesh and skin, raw",N/A,295
"Potatoes, russet, flesh and skin, raw (Includes foods for USDA's Food Distribution Program)",N/A,332
"Potatoes, white, flesh and skin, raw",N/A,69
"Prickly pears, raw",N/A,172
"Prunes, canned, heavy syrup pack, solids and liquids",N/A,439
"Pummelo, raw",N/A,159
"Pumpkin flowers, raw",N/A,63
"Pumpkin leaves, raw",N/A,79
"Pumpkin, raw",N/A,109
"Purslane, raw",N/A,20
"Quail, meat and skin, raw",N/A,803
"Quinces, raw",N/A,238
"Quinoa, cooked",N/A,503
"Quinoa, uncooked",N/A,368
"Radicchio, raw",N/A,96
"Radish seeds, sprouted, raw",N/A,180
"Radishes, oriental, raw",N/A,76
"Radishes, raw",N/A,16
"Radishes, white icicle, raw",N/A,59
"Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)",N/A,1250
"Raisins, golden, seedless",N/A,301
"Raisins, seeded",N/A,1240
"Rambutan, canned, syrup pack",N/A,343
"Raspberries, raw",N/A,220
"Rhubarb, raw",N/A,88
"Rhubarb, wild, leaves (Alaska Native)",N/A,255
"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)",N/A,367
"Rose-apples, raw",N/A,105
"Roselle, raw",N/A,205
"Rosemary, fresh",N/A,548
"Rowal, raw",N/A,462
"Ruffed Grouse, breast meat, skinless, raw",N/A,112
"Rutabagas, raw",N/A,157
Rye grain,N/A,1410
"Salmonberries, raw (Alaska Native)",N/A,195
"Salsify, (vegetable oyster), raw",N/A,343
"Sapodilla, raw",N/A,347
"Sapote, mamey, raw",N/A,124
